Issue ID,Description,Done,Element,Fix complexity,Hours Estimation,Screens,Screenshot,Section,Solution,Type
001,Layout for tablets can be improved (tested with browser emulator now).,,Hero section layout,Medium,1,Tablet,Near%20landing%20page/Screenshot_2026-05-26_at_11.03.03.png,Hero,Redesign or rebuild whole section for Tablet view,Layout
002,"According to design, this block, elements should be moved for 102px closer to the top",,Video block and Built for block,Hard,2,Desktop,Near%20landing%20page/Screenshot_2026-05-26_at_11.31.29.png,Hero,Need deep code check,Layout
003,Video block width now is 32 px wider than design on similar screen (1600px w),,Video block,Hard,2,Desktop,Near%20landing%20page/Screenshot_2026-05-26_at_11.30.52.png,Hero,Limit max block width (maybe better width calculations by screen w percentage),Layout
004,Subheading width is larger than design version,Yes,Subheading,Easy,,Desktop,Near%20landing%20page/Screenshot_2026-05-26_at_11.39.56.png,Hero,Limit max width to 296px,Layout
005,Navbar background is darker than design version,,Background,Medium,0.25,Desktop,Near%20landing%20page/Screenshot_2026-05-26_at_11.39.26.png,Navbar,Match background to design,Color
006,Nav colors are lighter than design version,,Links and logo colors,Medium,0.25,Desktop,Near%20landing%20page/Screenshot_2026-05-26_at_11.41.30.png,Navbar,Match colors to design,Color
007,"Demo button has bigger horizontal padding values than design. Btw, design button is not perfectly aligned vertically (bottom padding is smaller than top optically)",,Demo button,Medium,0.25,"Desktop, Mobile, Tablet",Near%20landing%20page/Screenshot_2026-05-26_at_12.06.49.png,Navbar,"My POV - dev button with larger padding looks better. ",Layout
008,Because of #007 Issue we have inconsistent spacing between links,,Link spacing,Medium,0.25,Desktop,Near%20landing%20page/Screenshot_2026-05-26_at_12.07.06.png,Navbar,Depends on #007 resolve,Layout
009,“Built for” block sizing should be aligned better to design. Now it’s wider and has unconsistent spacings between elements,,“Built for” block sizing,Medium,1,Desktop,Near%20landing%20page/Screenshot_2026-05-26_at_12.08.53.png,Hero,Manually rearrange all spacings and elements width,Layout
010,Wrong font weight,Yes,Subheading,Easy,,"Desktop, Mobile, Tablet",Near%20landing%20page/Screenshot_2026-05-26_at_12.09.37.png,Hero,Set the font weight to Regular or light,Layout
011,"Video block animation makes a feel of a “brick” if user scrolls fast. It’s a common with sticky blocks but we can research how to solve it.

Also just personal opinion: the value of repeating video inside sticky block is a bit weird - maybe we can use Rive animation that will react on User scroll instead? It can be looped on hero screen and became interactive when user starts scrolling.",,Video block,Hard,3,Desktop,,Hero,"Maybe we can add some soft-behavior, needs separate research

Estimation not included full animation rebuild with Rive",Animation
012,Design and dev lines are different - we need to add a dark line under the white (both 0.5px),,Border (Underline),Medium,0.25,"Desktop, Mobile, Tablet",Near%20landing%20page/Screenshot_2026-05-26_at_14.26.56.png,Navbar,Add a line overlay or stack them,Layout
